Symbol;Name;Price (Intraday);Avg Vol (3 month);Market Cap
KS;KapStone Paper and Packaging Corporation;0;1.337M;0
SID;Companhia Siderúrgica Nacional;2.57;2.209M;3.415B
FHB;First Hawaiian, Inc.;25.22;1.494M;3.402B
SYNT;Syntel, Inc.;40.99;563398;3.402B
KGC;Kinross Gold Corporation;2.71;11.592M;3.394B
CFX;Colfax Corporation;28.96;780241;3.394B
LGND;Ligand Pharmaceuticals Incorporated;160.06;593460;3.378B
DAR;Darling Ingredients Inc.;20.5;936329;3.375B
STAY;Extended Stay America, Inc.;17.94;1.562M;3.378B
LPX;Louisiana-Pacific Corporation;23.64;2.219M;3.374B
MIC;Macquarie Infrastructure Corporation;39.13;858573;3.351B
EDR;Education Realty Trust, Inc.;0;679274;0
SFM;Sprouts Farmers Market, Inc.;26.25;1.854M;3.35B
RLJ;RLJ Lodging Trust;19.11;1.227M;3.344B
SHO;Sunstone Hotel Investors, Inc.;14.57;1.478M;3.327B
NOMD;Nomad Foods Limited;19.09;1.033M;3.322B
APHA;Aphria Inc.;12.8097;2.082M;3.315B
WTW;Weight Watchers International, Inc.;49.5299;2.225M;3.31B
VLY;Valley National Bancorp;9.99;2.247M;3.312B
SWN;Southwestern Energy Company;5.75;19.835M;3.291B
CHK;Chesapeake Energy Corporation;3.63;27.801M;3.262B
NCR;NCR Corporation;26.73;1.088M;3.261B
HZNP;Horizon Pharma Public Limited Company;19.45;1.436M;3.241B
KMT;Kennametal Inc.;39.41;809898;3.233B
TCBI;Texas Capital Bancshares, Inc.;64.32;504310;3.228B
LILAK;Liberty Latin America Ltd.;18.73;580245;3.208B
AYX;Alteryx, Inc.;52.56;1.104M;3.2B
KLXI;KLX Inc.;62.99;1.105M;3.197B
MTDR;Matador Resources Company;27.45;1.347M;3.193B
SIG;Signet Jewelers Limited;61.54;1.511M;3.195B
ZNGA;Zynga Inc.;3.69;12.514M;3.18B
TRN;Trinity Industries, Inc.;21.785;2.107M;3.187B
NEA;Nuveen AMT-Free Quality Municipal Income Fund;12.105;549946;3.181B
FND;Floor & Decor Holdings, Inc.;32.57;1.877M;3.17B
NAVI;Navient Corporation;12.26;1.921M;3.161B
WLL;Whiting Petroleum Corporation;34.71;2.689M;3.158B
CLF;Cleveland-Cliffs Inc.;10.59;10.006M;3.156B
MFA;MFA Financial, Inc.;7.03;3.616M;3.153B
PAH;Platform Specialty Products Corporation;10.93;2.877M;3.151B
DK;Delek US Holdings, Inc.;36.25;1.809M;3.141B
RES;RPC, Inc.;14.61;1.617M;3.138B
AEL;American Equity Investment Life Holding Company;34.77;403783;3.139B
CNO;CNO Financial Group, Inc.;19.04;842713;3.135B
ESV;Ensco plc;7.2;11.782M;3.128B
CNX;CNX Resources Corporation;15.34;2.709M;3.123B
DOC;Physicians Realty Trust;16.62;1.272M;3.117B
SBGI;Sinclair Broadcast Group, Inc.;30.34;1.337M;3.007B
BJ;BJ's Wholesale Club Holdings, Inc.;22.8674;1.782M;3.097B
PFGC;Performance Food Group Company;29.44;817010;3.097B
GDS;GDS Holdings Limited;24.36;1.426M;3.067B
CBT;Cabot Corporation;49.64;411761;3.056B
UFS;Domtar Corporation;48.57;547781;3.055B
UNVR;Univar Inc.;21.66;1.18M;3.065B
OAS;Oasis Petroleum Inc.;9.53;7.577M;3.031B
AJRD;Aerojet Rocketdyne Holdings, Inc.;38.56;709030;3.026B
CLNY;Colony Capital, Inc.;5.78;2.147M;3.013B
PDCE;PDC Energy, Inc.;45.47;1.149M;3.004B
HMSY;HMS Holdings Corp.;35.51;558238;2.98B
MIK;The Michaels Companies, Inc.;17.23;2.745M;2.953B
NYLD;Clearway Energy, Inc.;0;487103;0
NVCR;NovoCure Limited;31.545;881404;2.934B
AZUL;Azul S.A.;25.67;1.184M;2.912B
TWOU;2U, Inc.;50.62;611446;2.907B
KBR;KBR, Inc.;20.6;1.568M;2.902B
APHQF;Aphria Inc.;11.57;2.431M;2.89B
ERI;Eldorado Resorts, Inc.;37.26;1.239M;2.882B
HGV;Hilton Grand Vacations Inc.;29.71;1.275M;2.879B
GLNG;Golar LNG Limited;29.16;1.395M;2.861B
AMGP;Antero Midstream GP LP;15.35;759583;2.858B
OUT;Outfront Media Inc.;20.45;938130;2.848B
PS;Pluralsight, Inc.;20.97;712701;2.832B
RH;RH;127.04;1.168M;2.825B
HAIN;The Hain Celestial Group, Inc.;25.95;1.309M;2.816B
SFIX;Stitch Fix, Inc.;28.3201;3.622M;2.807B
ADNT;Adient plc;30.09;1.859M;2.81B
RRR;Red Rock Resorts, Inc.;24.195;997641;2.809B
MYGN;Myriad Genetics, Inc.;37.12;806953;2.773B
VSH;Vishay Intertechnology, Inc.;19.23;1.697M;2.773B
THS;TreeHouse Foods, Inc.;48.88;735541;2.737B
NS;NuStar Energy L.P.;25.54;652744;2.734B
JAG;Jagged Peak Energy Inc.;12.82;1.374M;2.734B
VG;Vonage Holdings Corp.;11.335;1.655M;2.716B
TPX;Tempur Sealy International, Inc.;49.77;1.062M;2.709B
NVG;Nuveen AMT-Free Municipal Credit Income Fund;13.38;381501;2.71B
GEO;The GEO Group, Inc.;22.19;608026;2.7B
RARE;Ultragenyx Pharmaceutical Inc.;53.58;528453;2.689B
OI;Owens-Illinois, Inc.;16.9;1.267M;2.682B
ACAD;ACADIA Pharmaceuticals Inc.;21.365;2.98M;2.671B
SM;SM Energy Company;23.61;2.469M;2.648B
CXP;Columbia Property Trust, Inc.;22.46;868521;2.65B
BOX;Box, Inc.;18.67;3.088M;2.644B
BDN;Brandywine Realty Trust;14.43;1.276M;2.599B
PENN;Penn National Gaming, Inc.;21.96;2.098M;2.597B
KOS;Kosmos Energy Ltd.;5.9452;2.39M;2.577B
NOVT;Novanta Inc.;74.45;217728;2.58B
CLNC;Colony Credit Real Estate, Inc.;19.69;441910;2.579B
BZUN;Baozun Inc.;45.25;1.971M;2.577B
BTG;B2Gold Corp.;2.56;3.409M;2.533B
WCC;WESCO International, Inc.;54.45;403932;2.542B
CXW;CoreCivic, Inc.;21.27;658961;2.522B
AHL;Aspen Insurance Holdings Limited;42.035;1.4M;2.509B
ORA;Ormat Technologies, Inc.;49.4;203060;2.501B
PSEC;Prospect Capital Corporation;6.81;1.865M;2.485B
CRUS;Cirrus Logic, Inc.;41.4;895724;2.478B
CPG;Crescent Point Energy Corp.;4.52;1.447M;2.477B
VIAV;Viavi Solutions Inc.;10.81;2.501M;2.465B
SOGO;Sogou Inc.;6.38;1.881M;2.468B
THC;Tenet Healthcare Corporation;23.95;1.339M;2.452B
CYBR;CyberArk Software Ltd.;67.93;552830;2.45B
LBRT;Liberty Oilfield Services Inc.;20.57;908078;2.434B
P;Pandora Media, Inc.;8.99;9.975M;2.425B
CPE;Callon Petroleum Company;10.43;4.25M;2.374B
CMC;Commercial Metals Company;20.28;1.223M;2.373B
AKCA;Akcea Therapeutics, Inc.;27.55;381375;2.362B
AVNS;Avanos Medical, Inc.;49.975;323701;2.363B
CAR;Avis Budget Group, Inc.;29.63;1.827M;2.347B
ENLC;EnLink Midstream, LLC;12.9;603280;2.339B
TEX;Terex Corporation;31.54;1.287M;2.324B
VC;Visteon Corporation;80.37;679803;2.323B
PAAS;Pan American Silver Corp.;15.12;1.478M;2.317B
MNK;Mallinckrodt Public Limited Company;27.53;2.614M;2.291B
PEB;Pebblebrook Hotel Trust;33.12;1.386M;2.294B
ERF;Enerplus Corporation;9.35;698356;2.285B
AUY;Yamana Gold Inc.;2.385;12.266M;2.278B
SBH;Sally Beauty Holdings, Inc.;18.91;1.63M;2.267B
BDC;Belden Inc.;55.52;378209;2.256B
ZUO;Zuora, Inc.;20.94;1.81M;2.256B
GNW;Genworth Financial, Inc.;4.505;3.268M;2.256B
SKT;Tanger Factory Outlet Centers, Inc.;22.93;1.3M;2.251B
BL;BlackLine, Inc.;41.63;432743;2.246B
ALTR;Altair Engineering Inc.;31.99;360698;2.236B
SAIL;SailPoint Technologies Holdings, Inc.;25.48;1.344M;2.235B
QEP;QEP Resources, Inc.;9.4;4.22M;2.229B
SEAS;SeaWorld Entertainment, Inc.;25.42;2.379M;2.233B
BSTI;BEST Inc.;5.76;1.266M;2.23B
DSW;DSW Inc.;27.72;2.002M;2.226B
CVG;Convergys Corporation;0;802504;0
GFI;Gold Fields Limited;2.82;4.999M;2.217B
DDR;DDR Corp.;11.99;1.541M;2.206B
DM;Dominion Energy Midstream Partners, LP;17.37;913603;2.199B
SITC;SITE Centers Corp.;11.92;1.365M;2.193B
WRD;WildHorse Resource Development Corporation;21.96;1.593M;2.188B
PDCO;Patterson Companies, Inc.;23.47;1.949M;2.191B
DAN;Dana Incorporated;15.07;1.512M;2.18B
CLDR;Cloudera, Inc.;14.19;3.344M;2.174B
SUPN;Supernus Pharmaceuticals, Inc.;41.43;692909;2.163B
BOFI;Axos Financial, Inc.;34.39;517246;2.161B
CZZ;Cosan Limited;8.795;1.129M;2.152B
RLGY;Realogy Holdings Corp.;18.15;2.957M;2.145B
FOLD;Amicus Therapeutics, Inc.;11.195;2.7M;2.117B
KYN;Kayne Anderson MLP/Midstream Investment Company;16.73;419395;2.11B
MIME;Mimecast Limited;35.08;511118;2.106B
TNDM;Tandem Diabetes Care, Inc.;36.5376;3.307M;2.096B
DRH;DiamondRock Hospitality Company;10.08;2.003M;2.095B
FTDR;frontdoor, inc.;24.64;1.138M;2.082B
TELL;Tellurian Inc.;8.64;1.484M;2.078B
RDC;Rowan Companies plc;16.29;3.565M;2.07B
OPK;OPKO Health, Inc.;3.685;4.916M;2.063B
ITRI;Itron, Inc.;52.2292;258263;2.053B
GTT;GTT Communications, Inc.;37.21;753295;2.033B
FBP;First BanCorp.;9.335;2.113M;2.027B
AY;Atlantica Yield plc;20.16;254360;2.02B
FNSR;Finisar Corporation;17.18;2.328M;2.014B
PEGI;Pattern Energy Group Inc.;20.47;1.108M;2.012B
IRWD;Ironwood Pharmaceuticals, Inc.;13.05;1.074M;1.999B
EURN;Euronav NV;9.29;640726;1.996B
BE;Bloom Energy Corporation;18.19;608524;1.987B
BBBY;Bed Bath & Beyond Inc.;14.36;4.884M;1.982B
LXP;Lexington Realty Trust;8.14;1.521M;1.982B
GCP;GCP Applied Technologies Inc.;27.48;689307;1.983B
SGMS;Scientific Games Corporation;21.68;1.853M;1.982B
BECN;Beacon Roofing Supply, Inc.;28.95;1.331M;1.972B
NBR;Nabors Industries Ltd.;5.495;11.232M;1.964B
WBT;Welbilt, Inc.;14;1.136M;1.961B
BLMN;Bloomin' Brands, Inc.;21.33;1.25M;1.96B
IMPV;Imperva, Inc.;55.65;828413;1.956B
AMC;AMC Entertainment Holdings, Inc.;18.79;1.913M;1.945B
ECYT;Endocyte, Inc.;23.7;2.679M;1.945B
TVPT;Travelport Worldwide Limited;15.37;1.177M;1.943B
DLPH;Delphi Technologies PLC;21.9;1.527M;1.944B
TMHC;Taylor Morrison Home Corporation;16.32;1.203M;1.937B
LADR;Ladder Capital Corp;17.3;658764;1.925B
PNK;Pinnacle Entertainment, Inc.;32.55;349112;1.917B
OIBR-C;Oi S.A.;3.94;749185;1.917B
NXTM;Nxstage Medical, Inc.;28.95;490495;1.898B
BLD;TopBuild Corp.;53.21;413160;1.896B
SFLY;Shutterfly, Inc.;56.45;825886;1.893B
BGS;B&G Foods, Inc.;28.6;634044;1.886B
HUD;Hudson Ltd.;20.38;355018;1.885B
KBH;KB Home;21.31;2.223M;1.884B
EAT;Brinker International, Inc.;48.44;1.157M;1.88B
DO;Diamond Offshore Drilling, Inc.;13.57;1.593M;1.865B
GRPN;Groupon, Inc.;3.2899;7.541M;1.87B
CRSP;CRISPR Therapeutics AG;35.98;955444;1.855B
TPH;TRI Pointe Group, Inc.;12.9925;2.591M;1.848B
HOME;At Home Group Inc.;29.01;1.175M;1.842B
SRCI;SRC Energy Inc.;7.585;3.39M;1.84B
SHAK;Shake Shack Inc.;49.69;747184;1.84B
MWA;Mueller Water Products, Inc.;11.625;851389;1.839B
FN;Fabrinet;49.4;435407;1.819B
GOL;GOL Linhas Aéreas Inteligentes S.A.;10.98;1.105M;1.823B
GES;Guess', Inc.;22.56;826066;1.828B
CADE;Cadence Bancorporation;21.83;1.35M;1.826B
CCT;Corporate Capital Trust, Inc.;14.68;364092;1.822B
VGR;Vector Group Ltd.;13.445;1.556M;1.895B
PTCT;PTC Therapeutics, Inc.;35.39;882298;1.779B
MDRX;Allscripts Healthcare Solutions, Inc.;10.1;1.643M;1.765B
ACIA;Acacia Communications, Inc.;43.39;599746;1.755B
MDR;McDermott International, Inc.;9.73;3.172M;1.757B
SEDG;SolarEdge Technologies, Inc.;37.95;953647;1.736B
BKD;Brookdale Senior Living Inc.;9.26;1.989M;1.738B
PZZA;Papa John's International, Inc.;54.5752;1.519M;1.726B
FI;Frank's International N.V.;7.68;695521;1.722B
DNOW;NOW Inc.;15.85;1.236M;1.718B
PPDF;PPDAI Group Inc.;5.72;1.007M;1.72B
SSW;Seaspan Corporation;9.71;848681;1.714B
BIG;Big Lots, Inc.;42.53;1.323M;1.716B
LGORF;Largo Resources Ltd.;3.281;838338;1.712B
WSC;WillScot Corporation;15.795;636913;1.711B
AMKR;Amkor Technology, Inc.;7.08;1.249M;1.696B
IAG;IAMGOLD Corporation;3.64;4.109M;1.693B
GPOR;Gulfport Energy Corporation;9.75;3.579M;1.69B
CTB;Cooper Tire & Rubber Company;33.36;746306;1.67B
CRON;Cronos Group Inc.;9.2679;20.764M;1.655B
NEO;NeoGenomics, Inc.;17.985;599233;1.645B
CRZO;Carrizo Oil & Gas, Inc.;17.9;2.291M;1.64B
TSRO;Tesaro, Inc.;29.63;1.763M;1.631B
MB;MINDBODY, Inc.;33.87;707100;1.617B
GTN;Gray Television, Inc.;18.51;751832;1.615B
ESPR;Esperion Therapeutics, Inc.;59.49;664798;1.595B
BLDR;Builders FirstSource, Inc.;13.91;1.6M;1.596B
LX;LexinFintech Holdings Ltd.;9.59;444124;1.589B
INVA;Innoviva, Inc.;15.68;803941;1.584B
FSIC;FS Investment Corporation;6.6;1.196M;1.578B
EVBG;Everbridge, Inc.;53.14;380733;1.562B
ONCE;Spark Therapeutics, Inc.;41.48;664440;1.558B
XOG;Extraction Oil & Gas, Inc.;8.84;2.953M;1.551B
MRC;MRC Global Inc.;17.13;794429;1.547B
SUM;Summit Materials, Inc.;13.425;2.993M;1.545B
WDR;Waddell & Reed Financial, Inc.;19.68;917589;1.553B
MTH;Meritage Homes Corporation;38.51;524910;1.539B
TROX;Tronox Limited;12.53;1.558M;1.535B
CORT;Corcept Therapeutics Incorporated;13.27;1.273M;1.532B
GME;GameStop Corp.;14.945;3.245M;1.524B
QD;Qudian Inc.;4.675;2.723M;1.523B
FIT;Fitbit, Inc.;6.2;5.663M;1.52B
HDP;Hortonworks, Inc.;18.43;1.688M;1.522B
PBI;Pitney Bowes Inc.;8.06;2.474M;1.515B
TVTY;Tivity Health, Inc.;37.88;407715;1.515B
CTRE;CareTrust REIT, Inc.;18.6;559575;1.506B
AGI;Alamos Gold Inc.;3.84;1.755M;1.498B
ODP;Office Depot, Inc.;2.7;4.785M;1.497B
KN;Knowles Corporation;16.44;937386;1.483B
LC;LendingClub Corporation;3.485;3.01M;1.475B
WPG;Washington Prime Group Inc.;6.685;2.157M;1.476B
DDD;3D Systems Corporation;12.89;3.211M;1.471B
PUMP;ProPetro Holding Corp.;17.53;1.387M;1.465B
SKY;Skyline Champion Corporation;25.75;638116;1.455B
BV;BrightView Holdings, Inc.;14.19;540385;1.454B
RDFN;Redfin Corporation;16.4;1.371M;1.455B
TWNK;Hostess Brands, Inc.;11.15;1.217M;1.451B
PVG;Pretium Resources Inc.;7.89;2.482M;1.449B
CROX;Crocs, Inc.;21.22;1.054M;1.445B
RUN;Sunrun Inc.;12.94;1.742M;1.435B
DNR;Denbury Resources Inc.;3.1763;11.815M;1.44B
QSII;Quality Systems, Inc.;22.35;186475;1.435B
SBGL;Sibanye Gold Limited;2.57;3.8M;1.423B
FRAC;Keane Group, Inc.;13.32;1.145M;1.408B
SGMO;Sangamo Therapeutics, Inc.;13.84;2.238M;1.407B
WMIH;WMIH Corp.;1.31;5.703M;118.198M
OCLR;Oclaro, Inc.;8.24;1.467M;1.407B
CRC;California Resources Corporation;28.78;1.768M;1.398B
USAC;USA Compression Partners, LP;14.45;373941;1.392B
AROC;Archrock, Inc.;10.72;750163;1.386B
CORE;Core-Mark Holding Company, Inc.;30.15;399541;1.385B
ANF;Abercrombie & Fitch Co.;20.71;2.663M;1.382B
MXL;MaxLinear, Inc.;19.85;807193;1.369B
KTOS;Kratos Defense & Security Solutions, Inc.;13.125;1.018M;1.362B
AXL;American Axle & Manufacturing Holdings, Inc.;12.19;2.001M;1.362B
HCC;Warrior Met Coal, Inc.;25.74;866978;1.358B
BITA;Bitauto Holdings Limited;18.98;781069;1.356B
WEB;Web.com Group, Inc.;27.99;528418;1.354B
LPI;Laredo Petroleum, Inc.;5.86;5.661M;1.352B
FCF;First Commonwealth Financial Corporation;13.45;528487;1.35B
WFT;Weatherford International plc;1.34;20.089M;1.341B
HTZ;Hertz Global Holdings, Inc.;15.66;3.298M;1.318B
SPPI;Spectrum Pharmaceuticals, Inc.;12.57;1.557M;1.319B
EGFEF;Eurobank Ergasias S.A.;0.62;137900;1.317B
NG;NovaGold Resources Inc.;4.08;1.191M;1.321B
INSM;Insmed Incorporated;16.93;1.107M;1.305B
HBM;Hudbay Minerals Inc.;4.96;619624;1.293B
CWBHF;Charlotte's Web Holdings, Inc.;13.8593;130767;1.293B
ARWR;Arrowhead Pharmaceuticals, Inc.;14.69;2.548M;1.293B
RAD;Rite Aid Corporation;1.23;14.829M;1.295B
SYNA;Synaptics Incorporated;36.91;535066;1.287B
PTLA;Portola Pharmaceuticals, Inc.;19.17;1.579M;1.267B
SVU;SUPERVALU INC.;0;976304;0
SPN;Superior Energy Services, Inc.;8.11;2.809M;1.253B
NGL;NGL Energy Partners LP;10.19;1.007M;1.244B
HTGC;Hercules Capital, Inc.;12.745;431301;1.227B
HOLI;Hollysys Automation Technologies Ltd.;20.25;273058;1.222B
HLX;Helix Energy Solutions Group, Inc.;8.225;1.294M;1.219B
SSRM;SSR Mining Inc.;10.13;755444;1.215B
AKS;AK Steel Holding Corporation;3.84;11.091M;1.212B
HL;Hecla Mining Company;2.52;5.423M;1.202B
NE;Noble Corporation plc;4.865;5.469M;1.201B
BCC;Boise Cascade Company;30.75;476215;1.196B
FRPT;Freshpet, Inc.;33.84;289566;1.195B
TRUE;TrueCar, Inc.;11.51;782216;1.175B
NVRO;Nevro Corp.;38.8301;671075;1.169B
BTE;Baytex Energy Corp.;2.13;2.674M;1.168B
AQUA;Evoqua Water Technologies Corp.;10.18;1.014M;1.159B
TLRD;Tailored Brands, Inc.;23.235;1.384M;1.16B
KTWO;K2M Group Holdings, Inc.;26.515;1.244M;1.159B
GCI;Gannett Co., Inc.;10.095;980061;1.141B
AINV;Apollo Investment Corporation;5.39;868378;1.139B
CBLK;Carbon Black, Inc.;16.72;481710;1.136B
AG;First Majestic Silver Corp.;5.83;2.764M;1.128B
UNFI;United Natural Foods, Inc.;22.35;1.005M;1.127B
GTE;Gran Tierra Energy Inc.;2.87;1.412M;1.123B
